 format: day,hour,forecast,value  location:60_127 Start : 20250701 
 1,0200,+6,27.000000 
 1,0200,+7,27.000000 
 1,0200,+8,27.000000 
 1,0200,+9,27.000000 
 1,0200,+10,27.000000 
 1,0200,+11,26.000000 
 1,0200,+12,26.000000 
 1,0200,+13,26.000000 
 1,0200,+14,26.000000 
 1,0200,+15,25.000000 
 1,0200,+16,25.000000 
 1,0200,+17,25.000000 
 1,0200,+18,25.000000 
 1,0200,+19,25.000000 
 1,0200,+20,25.000000 
 1,0200,+21,25.000000 
 1,0200,+22,25.000000 
 1,0200,+23,26.000000 
 1,0200,+24,26.000000 
 1,0200,+25,27.000000 
 1,0200,+26,28.000000 
 1,0200,+27,29.000000 
 1,0200,+28,29.000000 
 1,0200,+29,29.000000 
 1,0200,+30,29.000000 
 1,0200,+31,28.000000 
 1,0200,+32,28.000000 
 1,0200,+33,27.000000 
 1,0200,+34,26.000000 
 1,0200,+35,26.000000 
 1,0200,+36,26.000000 
 1,0200,+37,26.000000 
 1,0200,+38,25.000000 
 1,0200,+39,25.000000 
 1,0200,+40,25.000000 
 1,0200,+41,25.000000 
 1,0200,+42,25.000000 
 1,0200,+43,25.000000 
 1,0200,+44,25.000000 
 1,0200,+45,25.000000 
 1,0200,+46,26.000000 
 1,0200,+47,26.000000 
 1,0200,+48,27.000000 
 1,0200,+49,28.000000 
 1,0200,+50,29.000000 
 1,0200,+51,30.000000 
 1,0200,+52,31.000000 
 1,0200,+53,30.000000 
 1,0200,+54,30.000000 
 1,0200,+55,29.000000 
 1,0200,+56,28.000000 
 1,0200,+57,27.000000 
 1,0200,+58,26.000000 
 1,0200,+59,25.000000 
 1,0200,+60,25.000000 
 1,0200,+61,24.000000 
 1,0200,+64,24.000000 
 1,0200,+67,23.000000 
 1,0200,+70,25.000000 
 1,0200,+73,28.000000 
 1,0200,+76,29.000000 
 1,0200,+79,28.000000 
 1,0200,+82,25.000000 
 1,0200,+85,24.000000 
 1,0500,+6,27.000000 
 1,0500,+7,27.000000 
 1,0500,+8,26.000000 
 1,0500,+9,26.000000 
 1,0500,+10,26.000000 
 1,0500,+11,26.000000 
 1,0500,+12,25.000000 
 1,0500,+13,25.000000 
 1,0500,+14,25.000000 
 1,0500,+15,25.000000 
 1,0500,+16,25.000000 
 1,0500,+17,25.000000 
 1,0500,+18,25.000000 
 1,0500,+19,25.000000 
 1,0500,+20,26.000000 
 1,0500,+21,26.000000 
 1,0500,+22,27.000000 
 1,0500,+23,28.000000 
 1,0500,+24,29.000000 
 1,0500,+25,29.000000 
 1,0500,+26,29.000000 
 1,0500,+27,29.000000 
 1,0500,+28,28.000000 
 1,0500,+29,28.000000 
 1,0500,+30,27.000000 
 1,0500,+31,26.000000 
