 format: day,hour,forecast,value  location:60_127 Start : 20250701 
 1,0200,+6,30.000000 
 1,0200,+7,31.000000 
 1,0200,+8,31.000000 
 1,0200,+9,30.000000 
 1,0500,+6,31.000000 
 1,0500,+7,31.000000 
 1,0500,+8,30.000000 
 1,0800,+6,32.000000 
 1,0800,+7,31.000000 
 1,0800,+8,31.000000 
 1,0800,+9,29.000000 
 1,1100,+6,32.000000 
 1,1100,+7,31.000000 
 1,1100,+8,31.000000 
 1,1100,+9,29.000000 
 1,1400,+6,32.000000 
 1,1400,+7,31.000000 
 1,1400,+8,31.000000 
 1,1400,+9,29.000000 
 1,1700,+6,32.000000 
 1,1700,+7,31.000000 
 1,1700,+8,31.000000 
 1,1700,+9,29.000000 
 1,2000,+6,32.000000 
 1,2000,+7,32.000000 
 1,2000,+8,31.000000 
 1,2000,+9,30.000000 
 1,2300,+6,32.000000 
 1,2300,+7,32.000000 
 1,2300,+8,31.000000 
 1,2300,+9,30.000000 
 Start : 20250702 
 2,0200,+6,32.000000 
 2,0200,+7,32.000000 
 2,0200,+8,31.000000 
 2,0200,+9,30.000000 
 2,0500,+6,32.000000 
 2,0500,+7,31.000000 
 2,0500,+8,30.000000 
 2,0800,+6,32.000000 
 2,0800,+7,31.000000 
 2,0800,+8,30.000000 
 2,0800,+9,31.000000 
 2,1100,+6,32.000000 
 2,1100,+7,31.000000 
 2,1100,+8,30.000000 
 2,1100,+9,31.000000 
 2,1400,+6,32.000000 
 2,1400,+7,31.000000 
 2,1400,+8,30.000000 
 2,1400,+9,31.000000 
 2,1700,+6,32.000000 
 2,1700,+7,31.000000 
 2,1700,+8,30.000000 
 2,1700,+9,31.000000 
 2,2000,+6,32.000000 
 2,2000,+7,31.000000 
 2,2000,+8,31.000000 
 2,2000,+9,32.000000 
 2,2300,+6,32.000000 
 2,2300,+7,31.000000 
 2,2300,+8,31.000000 
 2,2300,+9,32.000000 
 Start : 20250703 
 3,0200,+6,32.000000 
 3,0200,+7,31.000000 
 3,0200,+8,31.000000 
 3,0200,+9,32.000000 
 3,0500,+6,31.000000 
 3,0500,+7,31.000000 
 3,0500,+8,32.000000 
 3,0800,+6,31.000000 
 3,0800,+7,31.000000 
 3,0800,+8,32.000000 
 3,0800,+9,32.000000 
 3,1100,+6,31.000000 
 3,1100,+7,31.000000 
 3,1100,+8,32.000000 
 3,1100,+9,32.000000 
 3,1400,+6,31.000000 
 3,1400,+7,31.000000 
 3,1400,+8,32.000000 
 3,1400,+9,32.000000 
 3,1700,+6,31.000000 
 3,1700,+7,31.000000 
 3,1700,+8,32.000000 
 3,1700,+9,32.000000 
 3,2000,+6,31.000000 
 3,2000,+7,31.000000 
 3,2000,+8,32.000000 
 3,2000,+9,32.000000 
 3,2300,+6,31.000000 
 3,2300,+7,31.000000 
 3,2300,+8,32.000000 
 3,2300,+9,32.000000 
 Start : 20250704 
 4,0200,+6,31.000000 
 4,0200,+7,31.000000 
 4,0200,+8,32.000000 
 4,0200,+9,32.000000 
 4,0500,+6,31.000000 
 4,0500,+7,32.000000 
 4,0500,+8,32.000000 
 4,0800,+6,31.000000 
 4,0800,+7,32.000000 
 4,0800,+8,32.000000 
 4,0800,+9,35.000000 
 4,1100,+6,31.000000 
 4,1100,+7,32.000000 
 4,1100,+8,32.000000 
 4,1100,+9,35.000000 
 4,1400,+6,31.000000 
 4,1400,+7,32.000000 
 4,1400,+8,32.000000 
 4,1400,+9,35.000000 
 4,1700,+6,31.000000 
 4,1700,+7,32.000000 
 4,1700,+8,32.000000 
 4,1700,+9,35.000000 
 4,2000,+6,31.000000 
 4,2000,+7,32.000000 
 4,2000,+8,33.000000 
 4,2000,+9,35.000000 
 4,2300,+6,31.000000 
 4,2300,+7,32.000000 
 4,2300,+8,33.000000 
 4,2300,+9,35.000000 
 Start : 20250705 
 5,0200,+6,32.000000 
 5,0200,+7,32.000000 
 5,0200,+8,33.000000 
 5,0200,+9,35.000000 
 5,0500,+6,32.000000 
 5,0500,+7,33.000000 
 5,0500,+8,35.000000 
 5,0800,+6,33.000000 
 5,0800,+7,32.000000 
 5,0800,+8,36.000000 
 5,0800,+9,36.000000 
 5,1100,+6,33.000000 
 5,1100,+7,32.000000 
 5,1100,+8,36.000000 
 5,1100,+9,36.000000 
 5,1400,+6,33.000000 
 5,1400,+7,32.000000 
 5,1400,+8,36.000000 
 5,1400,+9,36.000000 
 5,1700,+6,33.000000 
 5,1700,+7,32.000000 
 5,1700,+8,36.000000 
 5,1700,+9,36.000000 
 5,2000,+6,33.000000 
 5,2000,+7,32.000000 
 5,2000,+8,36.000000 
 5,2000,+9,36.000000 
 5,2300,+6,33.000000 
 5,2300,+7,32.000000 
 5,2300,+8,36.000000 
 5,2300,+9,36.000000 
 Start : 20250706 
 6,0200,+6,33.000000 
 6,0200,+7,32.000000 
 6,0200,+8,36.000000 
 6,0200,+9,36.000000 
 6,0500,+6,32.000000 
 6,0500,+7,36.000000 
 6,0500,+8,36.000000 
 6,0800,+6,32.000000 
 6,0800,+7,36.000000 
 6,0800,+8,36.000000 
 6,0800,+9,35.000000 
 6,1100,+6,32.000000 
 6,1100,+7,36.000000 
 6,1100,+8,36.000000 
 6,1100,+9,35.000000 
 6,1400,+6,32.000000 
 6,1400,+7,36.000000 
 6,1400,+8,36.000000 
 6,1400,+9,35.000000 
 6,1700,+6,32.000000 
 6,1700,+7,36.000000 
 6,1700,+8,36.000000 
 6,1700,+9,35.000000 
 6,2000,+6,32.000000 
 6,2000,+7,36.000000 
 6,2000,+8,36.000000 
 6,2000,+9,35.000000 
 6,2300,+6,32.000000 
 6,2300,+7,36.000000 
 6,2300,+8,36.000000 
 6,2300,+9,35.000000 
 Start : 20250707 
 7,0200,+6,32.000000 
 7,0200,+7,36.000000 
 7,0200,+8,36.000000 
 7,0200,+9,35.000000 
 7,0500,+6,36.000000 
 7,0500,+7,36.000000 
 7,0500,+8,35.000000 
 7,0800,+6,36.000000 
